Issuer,Issue Month,Size (in issuance currency),Size (USD equivalent),Maturity Date,Issuer Country,Sector Criteria,Approved Verifier,Verifier Report,Status
Flexi ABS Trust 2019-1 (FlexiGroup (now known as Humm Group)),2019-03-01,AUD 90.9m,65000000,-,Australia,Solar,DNV,,redeemed
Access Bank Nigeria,2019-03-01,NGN 15bn,41800000,5 years,Nigeria,SolarWater InfrastructureLow Carbon Transport,PwC,/files/drupal-files/files/Access Bank pre-issue AUP report.pdf,-
New York State Housing Finance Agency,2019-03-01,USD 125.4m,125400000,Up to 33 years,United States,Low Carbon BuildingsÂ (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
Japan Railway Construction  Transport and Technology Agency,2019-03-01,JPY 55.3bn,500000000,4 years,Japan,Low Carbon Transport,DNV,/files/drupal-files/files/JRTT pre issuance verification 37 page report PUBLIC English.pdf,-
Societe des Grands Projets,2019-03-01,EUR 50m,56800000,51 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
Societe des Grands Projets,2019-03-01,EUR 2bn,2270000000,15 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
City of Santa Fe  New Mexico,2019-03-01,USD 13.6m,13600000,19 years,United States,Water Infrastructure,First Environment,/files/drupal-files/files/City of Santa Fe pre issuance assurance statement PUBLIC.pdf,-
Ubank (subsidiary of National Australia Bank),2019-03-01,N/A,,,Australia,Low Carbon Buildings (Commercial)Low Carbon TransportMarine Renewable EnergySolarWind,DNV,/files/drupal-files/files/NAB SDG Green Bond DNV Pre Issuance Statement public.pdf,-
Renew Power,2019-03-01,USD 435m,435000000,5 years,India,SolarWind,Emergent Ventures India,/files/drupal-files/files/Pre-issuance Assurance Statement-ReNew Bond 3 PUBLIC.pdf,-
Queensland Treasury Corporation,2019-03-01,AUD 1.75bn,1989000000,10 years,Australia,Low Carbon Transport,DNV,/files/drupal-files/files/QTC Green Bond - DNV Assurance Opinion_Pre Issuance_081216.pdf,-
Contact Energy Limited,2019-03-01,NZD 100m,70000000,5 years,New Zealand,Geothermal,EY,/files/drupal-files/files/Contact Green Borrowing Assurance Statement _PUBLIC.PDF,-
City and County of San Francisco,2019-02-01,USD 157.3m,157000000,Up to 10 years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/CBI Pre-Issuance Verification Letter - Transbay CFD 07122017 - FINAL.PDF,-
Los Angeles County Metropolitan Transportation Authority,2019-02-01,USD 419m,419000000,20 years,United States,Low Carbon Transport,First Environment,/files/drupal-files/files/LACMTA Prop C 2019-A Pre-Issuance Statement.pdf,-
Societe des Grands Projets,2019-02-01,EUR 50m,57300000,50 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
New York Metropolitan Transportation Authority,2019-02-01,USD 454m,454150000,27-29 years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
Indian Renewable Energy Development Agency Ltd,2019-01-01,INR 19.5bn,39000000,10 years,India,SolarWind,KPMG,/files/drupal-files/files/www.climatebonds.net,-
Indian Renewable Energy Development Agency Ltd,2019-01-01,INR 19.5bn,83800000,10 years,India,SolarWind,KPMG,/files/drupal-files/files/www.climatebonds.net,-
Noor Energy 1,2019-01-01,USD 2.69bn,2690000000,N/A,United Arab Emirates,Solar,Sustainalytics,/files/drupal-files/files/Noor-Energy-1-Post-Issuance-Verification-Letter.pdf,-
DNB Boligkreditt,2019-01-01,SEK 10bn,1109000000,5 years,Norway,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/DNB Boligkreditt Pre-Issuance Verification Letter - Sustainalytics.pdf,revoked
Energia Renovable De la Peninsula,2019-01-01,confidential,,confidential,Mexico,Wind,Vigeo Eiris,/files/drupal-files/files/Peninsula-pre-issuance-verification-PUBLIC.pdf,-
AC Energy,2019-01-01,USD 470m,470000000,5 years,Philippines,SolarWindGeothermal,Sustainalytics,/files/drupal-files/files/AC Energy CBI Pre-Issuance Verification Statement PUBLIC.pdf,-
SNCF Reseau,2019-01-01,EUR 700m,793000000,10 years,France,Low Carbon Transport,Oekom Research,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
Investa Commercial Property Fund,2019-01-01,confidential,,5 years,Australia,Low Carbon Buildings (Commercial),EY,/files/drupal-files/files/ICPF Green Loan Jan 2019 Pre-issuance Assurance Statement Public.pdf,-
Elliot Green Power,2018-12-01,AUD 260.5m,183400000,Confidential,Australia,Solar,DNV,/files/drupal-files/files/Elliott Green Power Green Loan - DNV Assurance Opinion Pre Issuance.pdf,-
New York State Housing Finance Agency,2018-12-01,USD 188m,188000000,Up to 35 years,United States,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
City of Columbia  South Carolina  United States,2018-12-01,USD 37.9m,37900000,Up to 30 years,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/City of Columbia SC Pre-Issuance Verification Letter Sustainalytics.pdf,-
B. Grimm Power,2018-12-01,THB 5bn,155000000,5 and 7 years,Thailand,Solar,DNV,/files/drupal-files/files/B_GRIMM pre issuance assurance statement PUBLIC.pdf,-
Kilroy Realty,2018-11-01,USD 400m,400000000,10 years,United States,Low Carbon Buildings (Commercial),DNV,/files/drupal-files/files/Kilroy Realty pre and post issuance assurance PUBLIC.pdf,-
New South Wales Treasury Corporation,2018-11-01,AUD 1.8bn,1300000000,10 years,Australia,Low Carbon TransportWater Infrastructure,EY Australia,/files/drupal-files/files/TCorp Pre Issuance Assurance Statement PUBLIC.pdf,-
Societe des Grands Projets,2018-11-01,EUR 20m,22800000,50 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
Royal Schiphol Group N.V.,2018-11-01,EUR 500m,569000000,5 years,Netherlands,Low Carbon Buildings (Commercial)Low Carbon Transport,Vigeo Eiris,/files/drupal-files/files/Royal Schiphol Group_pre issuance report PUBLIC.pdf,-
Bank of China (Tokyo Branch),2018-11-01,JPY 30bn                         RMB 800m,379000000,3 years,China,Low Carbon TransportWater Infrastructure,EY China,/files/drupal-files/files/Bank of China Tokyo Branch pre issuance report.pdf,-
Westpac,2018-11-01,N/A (see detail),,N/A (see detail),Australia,Low Carbon BuildingsWind,DNV,/files/drupal-files/files/westpac_Pre issuance assurance statement2022.pdf,-
Industrial Bank Co.  Ltd,2018-11-01,USD 600mEUR 300mUSD 600mEUR 300mUSD 600mEUR 300mUSD 600mEUR 300m,942000000,3 years,China,Low Carbon TransportSolarWind,Sustainalytics,/files/drupal-files/files/Industrial Bank Co Pre-Issuance Verification Statement PUBLIC.pdf,-
ING Group N.V.,2018-11-01,EUR 1.5bn and USD 1.25bn,2950000000,12 and 8 years,Netherlands,Low Carbon Buildings (Commercial)Low Carbon Buildings (Residential)Marine Renewable EnergySolarWind,Oekom Research,/files/drupal-files/files/ING pre issuance statement.pdf,-
New York State Housing Finance Agency,2018-10-01,USD 138m,138000000,Up to 33 years,United States,Low Carbon Buildings  (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
FIRA,2018-10-01,MXN 2.5bn,130000000,3 years,Mexico,Protected Agriculture,Sustainalytics,/files/drupal-files/files/CBI Pre-Issuance_FEFA_Verification_PUBLIC.pdf,-
Energie Baden-Wurttemberg (EnBW),2018-10-01,EUR 500m,570000000,15 years,Germany,Low Carbon TransportMarine Renewable EnergySolarWind,Oekom Research,/files/drupal-files/files/ EnBW_Pre issuance assurance statement.pdf,-
Societe des Grands Projets,2018-10-01,EUR 1.75bn,2010000000,10 years,France,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/SGP-pre-Issuance-report.pdf,-
ALD Automotive,2018-10-01,EUR 500m,580000000,4 years,France,Low Carbon Transport,Vigeo Eiris,/files/drupal-files/files/ALD Automotive pre issuance report.pdf,-
State Bank of India,2018-09-01,USD 650m,650000000,5 years,India,SolarWind,KPMG India,/files/drupal-files/files/KPMG State Bank of India pre issue statement PUBLIC.pdf,-
China Construction Bank,2018-09-01,EUR 500m,589000000,3 years,China,Low Carbon TransportMarine Renewable EnergyWater InfrastructureWind,EY China,/files/drupal-files/files/CCB Luxembourg Branch pre-issuance report public.pdf,-
Encavis AG,2018-09-01,EUR 50m,58000000,Different tranches of up to 10 years,Germany,Solar,Oekom Research,/files/drupal-files/files/Encavis pre issuance report oekom PUBLIC.pdf,-
Rio Energy,2018-08-01,BRL127.78m,30800000,15 years,Brazil,Wind,Vigeo Eiris,/files/drupal-files/files/Vigeo Eiris CBI report_Rio Energy Green Bond 2018.pdf,-
National Australia Bank,2018-08-01,EUR 750m,878000000,5 years,Australia,Low Carbon Buildings (Commercial)Low Carbon TransportMarine Renewable EnergySolarWind,DNV,/files/drupal-files/files/NAB SDG Green Bond DNV Pre Issuance Statement public.pdf,-
New York Metropolitan Transportation Authority,2018-08-01,USD 207.2m,207220000,Multiple tranches of up to 10 years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
San Francisco Public Utilities Commission,2018-08-01,USD 408m,408000000,30 years,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/San francisco_pre-issuance-verification.pdf,-
Monash University,2018-08-01,AUD 116m,85800000,20 years,Australia,Low Carbon Buildings (Commercial),EY Asia Pacific,/files/drupal-files/files/Monash University 3 Assurance Statement PUBLIC.PDF,-
Faro Energy,2018-07-01,confidential,,Confidential,United Kingdom,Solar,Bureau Veritas,/files/drupal-files/files/Faro Energy Green Bonds pre issuance Assurance public statement 20 June 2018.pdf,repaid
EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P. (EPSA),2018-07-01,COP 70bn,24300000,12 years,Colombia,Solar,EY,/files/drupal-files/files/EY EPSA pre issue report_PUBLIC.PDF,-
State Bank of India,2018-07-01,USD 50m,50000000,5 years,India,SolarWind,KPMG India,/files/drupal-files/files/KPMG State Bank of India pre issue statement PUBLIC.pdf,-
INR Energy Ventures Private LimitedBelgaum Solar Power Private LimitedMamadapur Solar Power Private Limited (Nucleus Office Parks),2018-06-01,INR 4.5bn,55468935,12 years,India,Solar,KPMG India,/files/drupal-files/files/inr-report.pdf,-
Landesbank Baden-Württemberg,2018-06-01,EUR 500m,581000000,5 years,Germany,Low Carbon Buildings (Commercial),Oekom Research,/files/drupal-files/files/oekom_pre-issuance-verification_report_Public_LBBW_29012018.pdf,-
New York State Housing Finance Agency,2018-06-01,USD 117m,117000000,Up to 35 years,United States,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
Auckland Council,2018-06-01,NZD 200m,137000000,5 years,New Zealand,Low Carbon Transport,EY Australia,/files/drupal-files/files/Auckland Council pre issue Assurance Statement - Public Version.pdf,-
National Australia Bank,2018-06-01,AUD 200m,148000000,10 years,Australia,SolarWind,DNV,/files/drupal-files/files/NAB SDG Green Bond DNV Pre Issuance Statement public.pdf,redeemed
KBC Group,2018-06-01,EUR 500m,575000000,5 years,Belgium,Low Carbon Buildings (Residential)Marine Renewable EnergySolarWind,Sustainalytics,/files/drupal-files/files/KBC Climate Bond Sustainalytics pre issuance verification public statement.pdf,-
National Australia Bank,2018-06-01,USD 750m,750000000,5 years,Australia,Low Carbon TransportLow Carbon Buildings (Commercial)Marine Renewable EnergySolarWind,DNV,/files/drupal-files/files/NAB SDG Green Bond DNV Pre Issuance Statement public.pdf,-
Industrial and Commercial Bank of China (London Branch),2018-06-01,USD 1bn and EUR 500m,1580000000,3 and 5 years,China,Low Carbon TransportMarine Renewable EnergySolarWind,Beijing Zhongcai Green Financing Consultant Ltd.,/files/drupal-files/files/ICBC Second Bond 2018 Verification Statement public.pdf,-
Bank of China (London Branch),2018-06-01,USD 1bn,1000000000,5 years,China,Low Carbon TransportMarine Renewable EnergyWater InfrastructureWind,EY China,/files/drupal-files/files/Bank of China London Climate Bonds Pre-Issuance Verifiers Report EY.pdf,-
Meridian Energy,2018-06-01,NZD 200m,136000000,7 years,New Zealand,Wind,DNV,/files/drupal-files/files/meridian energy_Pre issuance assurance statement.pdf,-
DNB Boligkreditt,2018-06-01,EUR 1.5bn,1770000000,7 years,Norway,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/DNB Boligkreditt Pre-Issuance Verification Letter - Sustainalytics.pdf,revoked
Flexi ABS Trust 2018-1 (FlexiGroup (now known as Humm Group)),2018-05-01,AUD 81.3m,61700000,-,Australia,Solar,DNV,,redeemed
Obvion,2018-05-01,EUR 587.8m,687900000,47 years,Netherlands,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/CBI Pre-Issuance Verification Obvion Green STORM 2018 Sustainalytics.pdf,redeemed
Volkswagen Immobilien,2018-05-01,EUR 107m,126000000,Range of tenors from 5-15 years,Germany,Low Carbon Buildings (Residential),Oekom Research,/files/drupal-files/files/VW Immobilien oekom Climate Bonds pre-issuance-verification report.pdf,-
New York State Housing Finance Agency,2018-05-01,USD 99m,99000000,33 years,United States,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
ABN AMRO,2018-04-01,EUR 750m,928000000,7 years,Netherlands,Low Carbon Buildings (Residential)Marine Renewable Energy,Oekom Research,/files/drupal-files/files/xs1808739459.html,-
New York State Housing Finance Agency,2018-04-01,USD 68.9m,68900000,33 years,United States,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
New York State Energy and Research Development Authority,2018-03-01,USD 18.5m,18500000,16 years,United States,Solar,First Environment,/files/drupal-files/files/NYSERDA pre issue Statement public 160218.pdf,-
Westpac,2018-02-01,AUD 117.3m,91000000,5 years,Australia,Low Carbon BuildingsLow Carbon TransportSolarWind,EY Asia Pacific,/files/drupal-files/files/westpac_Pre issuance assurance statement2022.pdf,-
National RMBS Trust 2018-1,2018-02-01,AUD 300m,234000000,31 years,Australia,Low Carbon Buildings (Residential),DNV,/files/drupal-files/files/National RMBS Trust 2018-1 - DNV Pre Issuance Verification Statement 18 Dec 2017.pdf,-
Sparebank 1 Boligkreditt,2018-01-01,EUR 1bn,1240000000,7 years,Norway,Low Carbon Buildings (Residential),MultiConsult,/files/drupal-files/files/Climate Bonds Sparebank 1 Boligkreditt Verification Post-Issuance Multiconsult May 2018.pdf,-
Nordex SE,2018-01-01,EUR 275m,337000000,5 years,Germany,Wind,DNV,/files/drupal-files/files/Nordex Green Bond DNV pre issue statement public.pdf,-
Monash University,2017-12-01,AUD 66m,51500000,25 years,Australia,Low Carbon Buildings (Commercial)Low Carbon Buildings (Upgrades)Solar,EY Asia Pacific,/files/drupal-files/files/Monash University 2017 Climate Bond Pre Issuance Assurance Statement PUBLIC.pdf,-
Landesbank Baden-Württemberg,2017-12-01,EUR 750m,884000000,4 years,Germany,Low Carbon Buildings (Commercial)Low Carbon Buildings (Upgrades),Oekom Research,/files/drupal-files/files/oekom_pre-issuance-verification_report_Public_LBBW_29012018.pdf,-
Enel Green Power Brazil,2017-12-01,BRL 22m,6600000,11.5 years,Brazil,Wind,Vigeo Eiris,/files/drupal-files/files/Enel Green Power VigeoEiris pre issue verification statement Public.pdf,-
San Francisco Bay Area Rapid Transit,2017-12-01,USD 185.5m,185500000,17 years,United States,Low Carbon Transport,First Environment,/files/drupal-files/files/BART Second Bond pre issuance Verification Statement .pdf,-
New York Metropolitan Transportation Authority,2017-12-01,USD 2.021bn,2021461000,multiple tranches/years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
San Francisco Public Utilities Commission,2017-12-01,USD 121m,121000000,30 years,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/report-WSIP-2016.pdf,-
San Francisco Public Utilities Commission,2017-12-01,USD 384.5m,384500000,18 years,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/report-WSIP-2016.pdf,-
Federal Government of Nigeria,2017-12-01,NGN 10.69bn,29700000,5 years,Nigeria,Solar,DNV,/files/drupal-files/files/FGN Climate Bond - DNV Pre Issuance Verification Statement.pdf,-
Power Finance Corporation,2017-12-01,USD 400m,400000000,10 years,India,SolarWindÂ ,KPMG India,/files/drupal-files/files/Final Pre-Issuance Assurance Statement - PFC.PDF,-
Indian Railway Finance Corporation,2017-12-01,USD 500m,500000000,10 years,India,Low Carbon TransportÂ ,KPMG India,/files/drupal-files/files/India Railway Finance Corporation pre issuance statement.PDF,-
EÃƒÂ³lica Serra das Vacas,2017-11-01,BRL 48m,14500000,14 years,Brazil,Wind,Vigeo Eiris,/files/drupal-files/files/PEC Energia Eolica Serra das Vacas Climate Bond pre issue report 08-17-2017.pdf,-
Omega Energia,2017-11-01,BRL220m,68000000,12 years,Brazil,Wind,Vigeo Eiris,/files/drupal-files/files/Omega Energia Bond 2 pre issuance report.pdf,-
Ivanhoé Cambridge and Natixis Assurances,2017-11-01,EUR 480m,558000000,4 years,France,Low Carbon Buildings (Commercial),Oekom Research,/files/drupal-files/files/A,-
Manulife Financial Corporation,2017-11-01,SGD 500m,368800000,12 years,Singapore,SolarWind,Sustainalytics,/files/drupal-files/files/CBI Manulife Pre-Issuance Verification Statement 11092017.pdf,-
Westpac,2017-11-01,EUR 500m,589000000,7 years,Australia,Low Carbon BuildingsLow Carbon TransportSolarWind,EY Asia Pacific,/files/drupal-files/files/westpac_Pre issuance assurance statement2022.pdf,-
City and County of San Francisco,2017-11-01,USD 171.4m,171400000,31 years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/CBI Pre-Issuance Verification Letter - Transbay CFD 07122017 - FINAL.PDF,-
Bank of China (Paris Branch),2017-11-01,USD 500m  EUR 700m  RMB 1bn,1450000000,Multiple tenors,France,Low Carbon TransportWind,EY Asia Pacific,/files/drupal-files/files/BOC 2017 pre-issuance report.pdf,-
China Development Bank,2017-11-01,EUR 1bn  USD 500m,1620000000,5 years,Hong KongGermany,Low Carbon TransportWindWater Infrastructure,EY Asia Pacific,/files/drupal-files/files/China Development Bank 2017 Green Bond Pre-issuance Assurance Report.pdf,-
New York State Housing Finance Agency,2017-11-01,USD 115m,115000000,33 years,United States,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
Barclays PLC,2017-11-01,EUR 500m,580000000,6 years,United Kingdom,Low Carbon Buildings (Residential),The Carbon TrustÃ‚Â,/files/drupal-files/files/Barclays - Agreed-Upon Procedures - Verification Report 13-09-17 FINAL s....pdf,-
Los Angeles County Metropolitan Transportation Authority,2017-10-01,USD 471m,471000000,25 years,United States,Low Carbon Transport,First Environment,/files/drupal-files/files/LA MTA Verification Statement.pdf,-
Industrial and Commercial Bank of China (Luxembourg),2017-10-01,EUR 1.1bn and USD 850m,2140000000,3 and 5 years,China,SolarWindLow Carbon Transport,Beijing Zhongcai Green Financing Consultant Ltd.,/files/drupal-files/files/ICBC 2017 pre issuance Verification statement.pdf,-
Indian Renewable Energy Development Agency Ltd,2017-09-01,INR 19.5bn,300000000,Multiple (5 and 10 years),India,SolarWind,Emergent Ventures India,/files/drupal-files/files/Pre-issuance Assurance Statement - IREDA v1_0.pdf,-
New York State Housing Finance Agency,2017-09-01,USD 40.9m,40900000,33 years,United States,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
New York Metropolitan Transportation Authority,2017-09-01,USD 662m,662000000,11 years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
Azure Power Ltd,2017-08-01,USD 500m,500000000,5 years,Mauritius,Solar,Emergent Ventures India,/files/drupal-files/files/Pre-issuance Assurance Statement-Azure.pdf,-
Contact Energy Limited,2017-08-01,NZD 1.88bn,1405000000,Multiple tenors,New Zealand,GeothermalÂ ,EY Asia Pacific,/files/drupal-files/files/Contact Green Borrowing Assurance Statement _PUBLIC.PDF,-
City of Cape Town,2017-07-01,ZAR 1bn,76000000,10 years,South Africa,WaterÂ Infrastructure,KPMG South Africa,/files/drupal-files/files/City of Capetown pre issuance report with Appendices 13_06_2017.pdf,-
SNCF Reseau,2017-07-01,EUR 1350m,1475000000,30 years,France,Low Carbon Transport,Oekom Research,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
Rural Electrification Corporation Limited (REC),2017-07-01,USD 450m,450000000,10 years,India,SolarWindÂ ,KPMG India,/files/drupal-files/files/Rural Electrification Corp pre issuance statement.pdf,-
China Three Gorges Corporation,2017-06-01,EUR 650m,726000000,3 years,China,Wind,EY Asia Pacific,/files/drupal-files/files/Three Gorges verification report.pdf,-
Obvion,2017-06-01,EUR 594.2m,667000000,47 years,Netherlands,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/Obvion Green Storm 2017 CBI Assurance Report_Final.pdf,redeemed
New York State Housing Finance Agency,2017-06-01,USD 78.4m,78400000,32 years,United States,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
San Francisco Bay Area Rapid Transit,2017-06-01,USD 384m,384000000,30 years,United States,Low Carbon Transport,First Environment,/files/drupal-files/files/BART Verification Statement April 28 2017.pdf,-
Quadran Group,2017-05-01,EUR 46m,51000000,5 years,France,SolarWind,EY Europe,/files/drupal-files/files/Quadran EY pre issue Statement_PUBLIC.pdf,-
New York Metropolitan Transportation Authority,2017-05-01,USD 680.3m,680265000,Multiple tranches/years,United States,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
Westpac,2017-04-01,USD 50m,50000000,10 years,Australia,Low Carbon BuildingsÂ (Commercial)Wind,EY Asia Pacific,/files/drupal-files/files/westpac_Pre issuance assurance statement2022.pdf,-
Investa Commercial Property Fund,2017-04-01,confidential,,10 years,Australia,Low Carbon Buildings (Commercial),EY Asia Pacific,/files/drupal-files/files/ICPF Investa pre issue Statement_PUBLIC.PDF,-
Investa Office Fund,2017-04-01,confidential,,7 years,Australia,Low Carbon Buildings (Commercial),EY Asia Pacific,/files/drupal-files/files/IOF pre issue Assurance Statement PUBLIC.PDF,-
CDL Properties Limited,2017-04-01,SGD 100m,71000000,2 years,Singapore,Low Carbon Buildings (Upgrades),KPMG India,/files/drupal-files/files/CDL Pre-Issuance Statement.pdf,-
National Australia Bank UK,2017-03-01,EUR 500m,533000000,5 years,United Kingdom,SolarWindLow Carbon Transport,DNV,/files/drupal-files/files/NAB UK Climate Bond - DNV Pre Issuance Verification Statement_5 February 2017 .pdf,-
Omega Energia,2017-03-01,BRL 42.4m,13000000,11 years,Brazil,Wind,Vigeo Eiris,/files/drupal-files/files/Omega Energia Bond 1 pre issuance report.PDF,-
Commonwealth Bank of Australia,2017-03-01,AUD 650m,492000000,5 years,Australia,Low Carbon Buildings (Commercial)Low Carbon TransportWind,EY Asia Pacific,/files/drupal-files/files/Commonwealth Bank Australia pre issue statement PUBLIC.pdf,redeemed
Rio Energy,2017-03-01,BRL 111.8m,35000000,11 years,Brazil,Wind,Vigeo Eiris,/files/drupal-files/files/Rio Energy Itarema Geracao pre issuance statement.pdf,-
SNCF Reseau,2017-03-01,EUR 1bn,1065000000,17 years,France,Low Carbon Transport,Oekom Research,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
Queensland Treasury Corporation,2017-03-01,AUD 750m,579500000,7 years,Australia,Low Carbon TransportSolar,DNV,/files/drupal-files/files/QTC Green Bond - DNV Assurance Opinion_Pre Issuance_081216.pdf,-
New York State Housing Finance Agency,2017-03-01,USD 56.2m,56200000,32 years,United States,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
New York Metropolitan Transportation Authority,2017-03-01,USD 325.6m,325585000,Multiple tranches/years,United States,Low Carbon TransportÂ ,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
Meridian Energy,2017-03-01,NZD 150m,105000000,7 years,New Zealand,Wind,DNV,/files/drupal-files/files/meridian energy_Pre issuance assurance statement.pdf,-
Indian Renewable Energy Development Agency Ltd,2017-03-01,INR 7bn,107000000,Multiple (5 and 10 years),India,SolarWind,Emergent Ventures India,/files/drupal-files/files/Pre-issuance Assurance Statement - IREDA v1_0.pdf,-
Renew Power,2017-02-01,USD 475m,475000000,5 years,Mauritius,SolarWindÂ ,Emergent Ventures India,/files/drupal-files/files/Neerg_Pre-issuance Assurance Statement.pdf,-
New York Metropolitan Transportation Authority,2017-02-01,USD 312.8m,312825000,Multiple tranches/years,United States,Low Carbon TransportÂ ,Sustainalytics,/files/drupal-files/files/MTA pre issuance Verification report Sustainalytics public.pdf,-
Flexi ABS Trust 2017-1 (FlexiGroup (now known as Humm Group)),2017-02-01,AUD 50m,38375000,-,Australia,Solar,DNV,,redeemed
New York State Housing Finance Agency,2017-01-01,USD 53.995m,53995000,32 years,United States,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
Alpha Trains,2017-01-01,EUR 250m,264000000,20 years,Luxembourg,Low Carbon TransportÂ ,Sustainalytics,/files/drupal-files/files/Alpha Trains Green Bond pre issue report 2016.pdf,-
MEP Werke,2017-01-01,EUR 30m,31700000,20 years,Germany,Solar,Oekom Research,/files/drupal-files/files/MEP 1 pre issuance report public.pdf,-
Monash University,2016-12-01,AUD 218m,163000000,20 years,Australia,Low Carbon Buildings (Commercial)Solar,EY Asia Pacific,/files/drupal-files/files/Monash University Assurance StatementFINAL_Public.pdf,-
San Francisco Public Utilities Commission,2016-12-01,USD 259m,259000000,20 years,United States,Water Infrastructure,Sustainalytics,/files/drupal-files/files/report-WSIP-2016.pdf,-
Investa Commercial Property Fund,2016-12-01,confidential,,,Australia,Low Carbon Buildings (Commercial),EY Australia,,-
Hero Future Energies,2016-12-01,INR 1.75bn,27000000,6 years,India,Solar,KPMG India,/files/drupal-files/files/HWEPL Green Bond - Final Report - Public(2).pdf,-
Hero Future Energies,2016-12-01,INR 1.25bn,19000000,6 years,India,Wind,KPMG India,/files/drupal-files/files/HWEPL Green Bond - Final Report - Public(2).pdf,-
New York State Housing Finance Agency,2016-12-01,USD 45.1m,45100000,32 years,United States,Low Carbon Buildings (Residential),Sustainalytics,/files/drupal-files/files/NYSHFA pre issue report.PDF,-
Masen,2016-11-01,MAD 1.15bn,115000000,18 years,Morocco,Solar,Vigeo Eiris,/files/drupal-files/files/MASEN - VigeoEiris CBI report.pdf,-
SNCF Reseau,2016-11-01,EUR 900m,998000000,15 years,France,Low Carbon Transport,Oekom Research,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
CPFL Energias Renováveis,2016-09-01,BRL 200m,60000000,5 years,Brazil,Wind,Vigeo Eiris,/files/drupal-files/files/CPFL pre issue report Dec 2016.pdf,-
Renew Power,2016-08-01,INR 5bn,75000000,5 years,India,Wind,Emergent Ventures India,/files/drupal-files/files/Renew-Power-Bond 1-Assurance Report-post issuance-Oct2016.pdf,-
NTPC Ltd,2016-08-01,INR 20bn,299000000,5 years,India,SolarWind,KPMG India,/files/drupal-files/files/NTPC Pre-Issuance Statement.pdf,-
Treasury Corporation Victoria,2016-07-01,AUD 300m,225000000,5 years,Australia,Low Carbon TransportLow Carbon Buildings (Upgrades)SolarWater InfrastructureWind,DNV,/files/drupal-files/files/TCV Green Bond - DNV Assurance Opinion_Pre Issuance_Submission.pdf,-
